sitename,city,state,country,notes,greenhouse,geometry,time_zone,soil,soilnotes
MAC Field Scanner Season 8 Range 1 Column 15 E,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E610000001000000050000006A183EA2C4F61841B3CD8D8165EC4B418733BFBACAF618415E68AE7F65EC4B4125CCB49DCAF6184169006F0564EC4B4107B13385C4F61841BF654E0764EC4B416A183EA2C4F61841B3CD8D8165EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 16 W,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E610000001000000050000008733BFBACAF618415E68AE7F65EC4B41A54E40D3D0F618410803CF7D65EC4B4143E735B6D0F61841139B8F0364EC4B4125CCB49DCAF6184169006F0564EC4B418733BFBACAF618415E68AE7F65EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 1 Column 16 E,Maricopa,Arizona,USA,"was originally range 36, changed to range 2, retained entry",f,0103000020E61000000100000005000000A54E40D3D0F618410803CF7D65EC4B41C269C1EBD6F61841B29DEF7B65EC4B416002B7CED6F61841BD35B00164EC4B4143E735B6D0F61841139B8F0364EC4B41A54E40D3D0F618410803CF7D65EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 1 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000000C59DD8A75F61841D3C1FA9767EC4B412A745EA37BF618417D5C1B9667EC4B41B16D51867BF61841A5A0DB1B66EC4B419352D06D75F61841FB05BB1D66EC4B410C59DD8A75F61841D3C1FA9767EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 1 E,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000002A745EA37BF618417D5C1B9667EC4B41478FDFBB81F6184127F73B9467EC4B41CE88D29E81F618414F3BFC1966EC4B41B16D51867BF61841A5A0DB1B66EC4B412A745EA37BF618417D5C1B9667EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 2 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000478FDFBB81F6184127F73B9467EC4B4165AA60D487F61841D1915C9267EC4B41ECA353B787F61841FAD51C1866EC4B41CE88D29E81F618414F3BFC1966EC4B41478FDFBB81F6184127F73B9467EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 2 E,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000065AA60D487F61841D1915C9267EC4B4182C5E1EC8DF618417C2C7D9067EC4B410ABFD4CF8DF6184187C43D1666EC4B41ECA353B787F61841FAD51C1866EC4B4165AA60D487F61841D1915C9267EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 3 W,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000082C5E1EC8DF618417C2C7D9067EC4B41A0E0620594F6184126C79D8E67EC4B4127DA55E893F61841315F5E1466EC4B410ABFD4CF8DF6184187C43D1666EC4B4182C5E1EC8DF618417C2C7D9067EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 3 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000A0E0620594F6184126C79D8E67EC4B41BDFBE31D9AF61841D061BE8C67EC4B4145F5D6009AF61841DBF97E1266EC4B4127DA55E893F61841315F5E1466EC4B41A0E0620594F6184126C79D8E67EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 4 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000BDFBE31D9AF61841D061BE8C67EC4B41DB166536A0F618417AFCDE8A67EC4B4162105819A0F6184185949F1066EC4B4145F5D6009AF61841DBF97E1266EC4B41BDFBE31D9AF61841D061BE8C67EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 4 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000DB166536A0F618417AFCDE8A67EC4B41F931E64EA6F618412497FF8867EC4B41802BD931A6F61841302FC00E66EC4B4162105819A0F6184185949F1066EC4B41DB166536A0F618417AFCDE8A67EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 5 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000F931E64EA6F618412497FF8867EC4B41164D6767ACF61841CF31208767EC4B419D465A4AACF61841DAC9E00C66EC4B41802BD931A6F61841302FC00E66EC4B41F931E64EA6F618412497FF8867EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 5 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000164D6767ACF61841CF31208767EC4B413468E87FB2F6184179CC408567EC4B41BB61DB62B2F618418464010B66EC4B419D465A4AACF61841DAC9E00C66EC4B41164D6767ACF61841CF31208767EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 6 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000003468E87FB2F6184179CC408567EC4B4151836998B8F6184106BB618367EC4B41D97C5C7BB8F618412EFF210966EC4B41BB61DB62B2F618418464010B66EC4B413468E87FB2F6184179CC408567EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 6 E,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000051836998B8F6184106BB618367EC4B416F9EEAB0BEF61841B055828167EC4B41F697DD93BEF61841D999420766EC4B41D97C5C7BB8F618412EFF210966EC4B4151836998B8F6184106BB618367EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 7 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000006F9EEAB0BEF61841B055828167EC4B418CB96BC9C4F618415AF0A27F67EC4B4114B35EACC4F618418334630566EC4B41F697DD93BEF61841D999420766EC4B416F9EEAB0BEF61841B055828167EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 7 E,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000008CB96BC9C4F618415AF0A27F67EC4B41AAD4ECE1CAF61841058BC37D67EC4B4131CEDFC4CAF618412DCF830366EC4B4114B35EACC4F618418334630566EC4B418CB96BC9C4F618415AF0A27F67EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 8 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000AAD4ECE1CAF61841058BC37D67EC4B41C8EF6DFAD0F61841AF25E47B67EC4B414FE960DDD0F61841BABDA40166EC4B4131CEDFC4CAF618412DCF830366EC4B41AAD4ECE1CAF61841058BC37D67EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 8 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000C8EF6DFAD0F61841AF25E47B67EC4B41E50AEF12D7F6184159C0047A67EC4B416C04E2F5D6F618416458C5FF65EC4B414FE960DDD0F61841BABDA40166EC4B41C8EF6DFAD0F61841AF25E47B67EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 9 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000002FFA0AB275F6184197900F9669EC4B414D158CCA7BF61841412B309469EC4B41D40E7FAD7BF618414CC3F01968EC4B41B6F3FD9475F61841A228D01B68EC4B412FFA0AB275F6184197900F9669EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 9 E,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000004D158CCA7BF61841412B309469EC4B4153910AE381F61841EBC5509269EC4B41F12900C681F61841F65D111868EC4B41D40E7FAD7BF618414CC3F01968EC4B414D158CCA7BF61841412B309469EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 10 W,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000053910AE381F61841EBC5509269EC4B4171AC8BFB87F6184178B4719069EC4B410F4581DE87F61841A1F8311668EC4B41F12900C681F61841F65D111868EC4B4153910AE381F61841EBC5509269EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 10 E,Maricopa,Arizona,USA,3d rep shifted from original design,f,0103000020E6100000010000000500000071AC8BFB87F6184178B4719069EC4B418FC70C148EF61841224F928E69EC4B412D6002F78DF618414B93521468EC4B410F4581DE87F61841A1F8311668EC4B4171AC8BFB87F6184178B4719069EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 11 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000008FC70C148EF61841224F928E69EC4B41ACE28D2C94F61841CDE9B28C69EC4B414A7B830F94F61841F52D731268EC4B412D6002F78DF618414B93521468EC4B418FC70C148EF61841224F928E69EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 11 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000ACE28D2C94F61841CDE9B28C69EC4B41CAFD0E459AF618417784D38A69EC4B41689604289AF618419FC8931068EC4B414A7B830F94F61841F52D731268EC4B41ACE28D2C94F61841CDE9B28C69EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 12 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000CAFD0E459AF618417784D38A69EC4B41E718905DA0F61841211FF48869EC4B4185B18540A0F618414963B40E68EC4B41689604289AF618419FC8931068EC4B41CAFD0E459AF618417784D38A69EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 12 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000E718905DA0F61841211FF48869EC4B4105341176A6F61841CBB9148769EC4B41A3CC0659A6F61841D751D50C68EC4B4185B18540A0F618414963B40E68EC4B41E718905DA0F61841211FF48869EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 13 W,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000005341176A6F61841CBB9148769EC4B41224F928EACF618417654358569EC4B41C0E78771ACF6184181ECF50A68EC4B41A3CC0659A6F61841D751D50C68EC4B4105341176A6F61841CBB9148769EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 13 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000224F928EACF618417654358569EC4B41406A13A7B2F6184120EF558369EC4B41DE02098AB2F618412B87160968EC4B41C0E78771ACF6184181ECF50A68EC4B41224F928EACF618417654358569EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 14 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000406A13A7B2F6184120EF558369EC4B415E8594BFB8F61841CA89768169EC4B41FC1D8AA2B8F61841D521370768EC4B41DE02098AB2F618412B87160968EC4B41406A13A7B2F6184120EF558369EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 14 E,Maricopa,Arizona,USA,"was E224, now entry 93 DP_101",f,0103000020E610000001000000050000005E8594BFB8F61841CA89768169EC4B417BA015D8BEF618417424977F69EC4B4119390BBBBEF618417FBC570568EC4B41FC1D8AA2B8F61841D521370768EC4B415E8594BFB8F61841CA89768169EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 15 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000007BA015D8BEF618417424977F69EC4B4199BB96F0C4F618411FBFB77D69EC4B4137548CD3C4F618412A57780368EC4B4119390BBBBEF618417FBC570568EC4B417BA015D8BEF618417424977F69EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 15 E,Maricopa,Arizona,USA,,f,0103000020E6100000010000000500000099BB96F0C4F618411FBFB77D69EC4B41B6D61709CBF61841C959D87B69EC4B413ED00AECCAF61841D4F1980168EC4B4137548CD3C4F618412A57780368EC4B4199BB96F0C4F618411FBFB77D69EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 16 W,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000B6D61709CBF61841C959D87B69EC4B41D4F19821D1F618415648F97969EC4B415BEB8B04D1F618417E8CB9FF67EC4B413ED00AECCAF61841D4F1980168EC4B41B6D61709CBF61841C959D87B69EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 2 Column 16 E,Maricopa,Arizona,USA,,f,0103000020E61000000100000005000000D4F19821D1F618415648F97969EC4B41F20C1A3AD7F6184100E3197869EC4B4179060D1DD7F618412827DAFD67EC4B415BEB8B04D1F618417E8CB9FF67EC4B41D4F19821D1F618415648F97969EC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 1 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000003BFC35D975F618413EB324946BEC4B415917B7F17BF61841E84D45926BEC4B41E010AAD47BF61841F3E505186AEC4B41C3F528BC75F6184166F7E4196AEC4B413BFC35D975F618413EB324946BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 1 E,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000005917B7F17BF61841E84D45926BEC4B417632380A82F6184192E865906BEC4B41FE2B2BED81F618419D8026166AEC4B41E010AAD47BF61841F3E505186AEC4B415917B7F17BF61841E84D45926BEC4B41,,some text,some text
MAC Field Scanner Season 8 Range 3 Column 2 W,Maricopa,Arizona,USA,,f,0103000020E610000001000000050000007632380A82F6184192E865906BEC4B41944DB92288F618413C83868E6BEC4B411B47AC0588F61841481B47146AEC4B41FE2B2BED81F618419D8026166AEC4B417632380A82F6184192E865906BEC4B41,,some text,some text
